Campaign name,email,Instantly status,website,companyName,loca
,info@kararpatent.com,Completed | Email opened but no reply,http://www.kararpatent.com/,Karar Patent Marka Tescil ve Danismanlik Hizmetleri LTD. STI.,dik sokagi
,bilgi@cinfikir.com,Completed | Contacted,http://kesicigoktasegemen.av.tr/,Kesici Goktas Egemen Hukuk Burosu,bora sokagi
,info@tumnoterler.com,Bounced,http://www.tumnoterler.com/noter/847-beyoglu-57-noterligi,Beyoglu 57. Noterligi,cemil bengu caddesi
,info@celikpartners.com,Completed | Contacted,https://www.celikpartners.com/,Celik & Celik Partners Law Firm,cigdem sokagi
,iletisim@bilgichukuk.com,Bounced,https://www.bilgichukuk.com/,Ezgi SAPMAZ Hukuk ve Arabuluculuk Burosu Silivri | Avukat Ezgi Merve SAPMAZ,Turgut Ozal bulvarıı
,info@eforpatent.com,Completed | Contacted,https://eforpatent.com.tr/,EFOR PATENT,dap vadisi z ofis ofisi
,info@selverakkoyunkorkmaz.av.tr,Completed | Contacted,http://www.selverakkoyunkorkmaz.av.tr/,SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK,bennur sokagi
,avbaran11@gmail.com,Completed | Email opened but no reply,https://barandogan.av.tr/,Avukat Baran Dogan Hukuk Burosu,fevzi cakmak caddesi
,aktasaksahin@gmail.com,Completed | Email opened but no reply,http://aktasaksahin.com/,Aktas & Aksahin Hukuk ve Danismanlik Burosu,ulubey sokagi
,avcemakyazi@gmail.com,Completed | Contacted,https://www.arenahukuk.com/,Arena Hukuk ve Arabuluculuk | Kucukcekmece Avukat,ikitelli caddesi
,info@kurucuk.com.tr,Completed | Contacted,https://www.kurucuk.com.tr/,"Kurucuk & Associates Law Firm Istanbul Turkey | Lawyers in Istanbul, Turkey | Turkish Immigration & Legal Consultancy",1453 Caddesi
,info@kuregayrimenkul.com,Completed | Contacted,http://www.kuregayrimenkul.com.tr/,Kure Gayrimenkul Beylikduzu,mehmetcik caddesi
,info@gkconsultation.com,Completed | Contacted,http://www.gkconsultation.com/,GK Partners | Turkish Citizenship Company Lawyers,yeni yol caddesi
,info@emlakistasyonu.com.tr,Bounced,http://www.emlakistasyonu.com.tr/,Emlak Istasyonu & Halil Guler GYO & Hukuk ve Avukatlik Hizmetleri,cavusbasi caddesi
,bilgi@cihatdemirbag.com.tr,Completed | Contacted,https://www.cihatdemirbag.com.tr/,Avukat Cihat Demirbag | Imar Gayrimenkul Kentsel Donusum Avukati,sakarya sokagi
,info@tugsanyilmaz.av.tr,Completed | Email opened but no reply,http://www.tugsanyilmaz.av.tr/,Avukat Tugsan YILMAZ,pembe ay sokagi
,bulutadaletfirm@gmail.com,Completed | Contacted,https://www.bulutadalet.com/,Bulut Adalet Avukatlik Burosu,mustafa akyol sokagi
,info@ayaturk.com.tr,Completed | Contacted,http://www.ayaturk.com.tr/,Aya Turk shrk@ ay@ trk ll`qrt wlstshrt lqnwny@,korkutata sokagi
,info@dolarlakira.com,Completed | Email opened but no reply,https://dolarlakira.com/,Dolarla Kira,seckin sokagi
,avburcubeyazay@gmail.com,Completed | Email opened but no reply,http://www.beyazayhukuk.com/,Beyazay Hukuk & Danismanlik,halaskargazi caddesi
,info@imtilakglobal.ae,Completed | Contacted,https://www.imtilak.net/,Imtilak Real Estate,Suleyman Demirel bulvarı
,info@topo.av.tr,Completed | Contacted,https://www.topo.av.tr/,Topo Hukuk Burosu,eski cirpici yolu sokagi
,info@ckay.com.tr,Completed | Email opened but no reply,http://www.ckay.com.tr/,CKAY Law Firm,mecidiyekoy yolu caddesi
,info@hanyaloglu-acar.av.tr,Completed | Contacted,http://www.hanyaloglu-acar.av.tr/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D1781301367057590300,Hanyaloglu & Acar Hukuk Burosu,buyukdere caddesi
