Campaign name,email,Instantly status,phone,website,companyName,loca,Location
,info@cailliau-colakel.av.tr,Completed | Contacted,(0212) 241 09 50,http://www.cailliau-colakel.av.tr/,Cailliau & Colakel Avukatlik Ortakligi,cumhuriyet mahallesi,Sok Cumhuriyet Mah
,info@donmezlawoffice.com,Completed | Contacted,,https://www.donmezlawoffice.com/,Donmez Law Office,oto caddesi,Oto Caddesi
,info@cptlawfirm.com,Completed | Email opened but no reply,,https://www.cptlawfirm.com/contact/,CpT Law Firm,buyukdere caddesi,Buyukdere Cd.
,bilgi@saripartners.com,Completed | Email opened but no reply,(0212) 351 66 00,http://www.saripartners.com/,SARI AVUKATLIK ORTAKLIGI,kaya cilingiroglu caddesi,Kaya Cilingiroglu Caddesi
,hukuk@mfv.com.tr,Completed | Contacted,(0216) 504 80 01,http://mfv.com.tr/,MFV YIGIT HUKUK BUROSU,inonu caddesi,Inonu Cd.
,servet@sormen.av.tr,Completed | Email opened but no reply,(0212) 234 48 37,http://www.sormen.av.tr/,SORMEN HUKUK BUROSU,park caddesi,Park Cd
,info@guleryuz.av.tr,Completed | Contacted,(0212) 328 41 91,http://www.guleryuz.av.tr/,Guleryuz Partners Attorneys at Law,eski buyukdere caddesi,Eski Buyukdere Cd.
,atagroup.istanbul@gmail.com,Completed | Email opened but no reply,0532 276 80 85,http://istanbullawyer.info/,wkhyl Avukat Lawyer mHmy Egemen Yasin GURBUZ & wkhyl tb`yt trkhyh(Egemen Global Law Office),pasa mahallesi,Barbaros Hayrettin Pasa Mah
,av.enesozbag@gmail.com,Completed | Email opened but no reply,0535 054 87 27,https://ozbagsenturkhukuk.com/,OZBAG&SENTURK HUKUK VE DANISMANLIK,merkezefendi mahallesi mevlana caddesi,Merkezefendi Mahallesi Mevlana Caddesi
,info@sbhukukburosu.com.tr,Completed | Email opened but no reply,(0216) 576 24 24,https://www.sbhukukburosu.com.tr/,SB Hukuk ve Arabuluculuk,aliaga sokagi,Aliaga Sk.
,babaoglulawoffice@gmail.com,Completed | Email opened but no reply,(0216) 802 82 02,https://www.babaoglulaw.com/,Avukat Cigdem Babaoglu - Babaoglu Law Office,albay faik sozdener caddesi,Albay Faik Sozdener Cad
,iyamakoglu@yamakogluisgoren.com,Completed | Email opened but no reply,(0216) 383 96 75,https://www.citizenshipsturkey.com/,Turkish Citizenship Lawyer Office - Yamakoglu & Partners,mustafa kemal caddesi,Mustafa Kemal Cad
,info@onkahukuk.com,Completed | Contacted,0553 930 49 95,http://www.onkahukuk.com/,"Beylikduzu, Esenyurt Uzman Bosanma Avukati / Agir Ceza Avukati / Is Hukuku Avukati Onka Hukuk & Danismanlik",lamia sokagi,Serinpinar Cad
,bilgi@ozdogan-hukuk.com,Completed | Contacted,(0216) 473 21 00,http://www.ozdogan-hukuk.com/,Ozdogan Hukuk Burosu,faruk ayanoglu caddesi,Faruk Ayanoglu Cd.
,info@kalyonculaw.com,Completed | Contacted,0535 735 57 75,http://www.kalyonculaw.com/,Kalyoncu Law,i hurriyet caddesi,i Hurriyet Cd
,info@deselaw.com,Completed | Email opened but no reply,0850 460 0632,http://www.deselaw.com/,DESE Law Partner,Tekstilkent Plazası,DESE Law
,info@onalhukuk.net,Completed | Email opened but no reply,(0212) 230 25 26,http://www.onalhukuk.net/,Onal Hukuk Burosu,nisan caddesi,Nisan Cd.
,info@cchukukburosu.com,Bounced,(0216) 576 41 45,http://www.cagdascelik.av.tr/,C C Hukuk Burosu,balikesir caddesi,Balikesir Cd.
,hukuk@sahin.av.tr,Completed | Contacted,(0216) 336 88 40,http://www.sahin.av.tr/,Sahin Hukuk Burosu & Avukat Satilmis Sahin,cevizli mahallesi enderun sokagi,Sahin Hukuk Burosu
,info@sevencoban.com,Completed | Contacted,(0212) 571 54 58,http://sevencoban.com/,Seven & Coban Hukuk Burosu,ahu sokagi,Seven
,office@filiztopkaya.av.tr,Completed | Contacted,(0216) 456 73 24,http://www.filiztopkaya.av.tr/,Avukat Refika Filiz Topkaya,sedef caddesi,Sedef Cad
,info@oaulegal.com,Completed | Contacted,(0212) 246 11 19,http://www.oaulegal.com/,"Oncel, Aydin & Uygun Attorney Partnership",ahi evran caddesi,Ahi Evran Cad
,nazangul@kazakhukuk.com,Completed | Contacted,0532 400 69 24,https://kazakhukuk.com/,KAZAK HUKUK,libadiye caddesi,KAZAK
,info@legaltasarim.com,Completed | Contacted,(0216) 482 71 67,http://www.legaltasarim.com/,Legal Tasarim ve Muhendislik San. Ve Tic. Ltd. Sti.,yenisehir mahallesi,Legal Tasarim ve Muhendislik
,info@kaimhukuk.com,Completed | Email opened but no reply,(0216) 330 62 80,http://www.kaimhukuk.com/,KAIM HUKUK & DANISMANLIK,fahrettin kerim gokay caddesi,Fahrettin Kerim Gokay Cd
,perihansevim@hotmail.com,Bounced,(0216) 399 96 49,http://www.sevimhukukburosu.com/,Sevim Hukuk Burosu,mustafa kemal caddesi enderun sokagi,Mustafa Kemal Caddesi
,office@tepelawoffice.com,Completed | Contacted,(0216) 349 78 01,https://www.tepelawoffice.com/,Tepe Law Office,ahsen ck sokagi,Ahsen Ck Sk
,info@bbclegal.com,Completed | Contacted,0530 846 08 87,https://www.bbclegal.com/,BBC Legal,i hurriyet caddesi,i Hurriyet Cd
,info@ruscuklu.com,Completed | Email opened but no reply,0530 440 37 15,http://ruscuklu.com/,RUSCUKLU LAW AND MEDIATION OFFICE,ruscuklu law and mediation office ofisi,Maslak Mah
,goktaslaw@hotmail.com,Completed | Contacted,(0216) 305 99 98,http://www.goktashukuk.com.tr/,GOKTAS HUKUK & ARABULUCULUK,tulin caddesi,Tulin Cd.
,akkas@akkaspartners.com,Completed | Contacted,(0212) 325 34 00,http://www.akkaspartners.com/,Akkas & Partners Hukuk Burosu / Law Firm,oksuzcocuk sokagi,OksuzCocuk Sk
,info@berkerberker.com,Completed | Email opened but no reply,(0212) 353 03 00,http://www.berkerberker.com/,Berker Berker Law Office,buyukdere caddesi,Buyukdere Cad
,info@ilkehukukdanismanlik.com.tr,Completed | Contacted,(0212) 999 61 54,https://www.ilkehukukdanismanlik.com.tr/,"Ilke Hukuk ve Danismanlik | Istanbul Bahcelievler Avukat, Bahcelievler Hukuk Burosu",asena sokagi,Asena Sk.
,info@kaslioglu.av.tr,Completed | Email opened but no reply,(0216) 358 39 58,http://www.kaslioglu.av.tr/,Tellioglu & Kaslioglu Hukuk Burosu,vezir sokagi,Vezir Sk.
,info@jfahukukburosu.com,Completed | Contacted,0544 353 61 31,http://jfahukukburosu.com/,JFA HUKUK BUROSU- Beylikduzu | Ceza Avukati | Beylikduzu | Bosanma Avukati | Beylikduzu | Miras Avukati |,cumhuriyet mahallesi,Cumhuriyet Mah
,info@polegal.com,Completed | Contacted,(0216) 347 41 77,http://www.polegal.com/,POLEGAL Hukuk Burosu - Law Office,fenerbahce mahallesi operator cemil topuzlu caddesi haci mehmet efendi sokagi,FENERBAHCE MAH
,info@ariturk.com.tr,Completed | Contacted,(0212) 465 88 55,http://www.ariturk.com.tr/,Ariturk & Partners Hukuk Ofisi,partners hukuk ofis ofisi,Ariturk
,info@yesillawoffice.com,Completed | Contacted,(0212) 510 33 04,http://yesillawoffice.com/,yesil law office,yesil law office ofisi,yesil law
,info@dkhukukburosu.com,Completed | Contacted,(0216) 517 31 48,http://dkhukukburosu.com/,DK Hukuk Burosu,ankara caddesi,Ankara Cd.
,info@elitlaw.com,Completed | Contacted,,https://elitlaw.com/,Elit HUKUK BUROSU,mustafa kemal caddesi,Mustafa Kemal Cd.
,info@cbclaw.com.tr,Completed | Email opened but no reply,(0212) 351 31 40,https://www.cbclaw.com.tr/,CBC Hukuk Burosu | CBC Law Firm,cebeci caddesi,Cebeci Cd.
,info@aslanattorney.com,Completed | Email opened but no reply,(0212) 296 73 44,http://www.aslanattorney.com/,Aslan Attorney,halide edip adivar mahallesi darulaceze caddesi,Halide Edip Adivar Mahallesi Darulaceze Caddesi
,info@vedatyalcin.av.tr,Completed | Contacted,0501 009 48 40,https://www.vedatyalcin.av.tr/,Avukat Vedat Yalcin,sultaniye mahallesi,Sultaniye
,info@atlaslegal.com.tr,Completed | Contacted,(0216) 305 91 91,http://www.atlaslegal.com.tr/,Atlas Legal,zuhal caddesi,Zuhal Cd.
,info@olcerlaw.com,Completed | Contacted,(0212) 296 82 45,https://olcerlaw.com/,Olcer Avukatlik Burosu,imrahor caddesi,Imrahor Cd.
,avukatesraakyildiz@gmail.com,Completed | Email opened but no reply,0535 449 55 04,https://www.esraakyildiz.av.tr/,AVUKAT ESRA AKYILDIZ YASAR - AKYILDIZ HUKUK VE ARABULUCULUK BUROSU SILIVRI,alibey mahallesi,Alibey Mah
,info@prensippatent.com,Completed | Contacted,(0212) 516 00 34,http://www.prensippatent.com/,Prensip Patent A.S.,murselpasa caddesi,Murselpasa Cd.
,info@karakaya.av.tr,Completed | Email opened but no reply,(0212) 274 71 41,http://www.karakaya.av.tr/,Karakaya Avukatlik Ofisi,bestekar sevki bey sokagi,Bestekar Sevki Bey Sk.
,bilgi@hdhukuk.com,Completed | Email opened but no reply,(0216) 330 03 65,http://www.hdhukuk.com/,Hakan Durak Hukuk Burosu,yumurtaci abdibey caddesi,Yumurtaci Abdibey Cad
,info@serbes.av.tr,Completed | Contacted,(0212) 296 68 62,http://www.serbes.av.tr/,Serbes & Partners,siracevizler caddesi,Siracevizler Cd.
,info@bb-legal.com,Completed | Email opened but no reply,(0212) 219 16 30,http://www.bb-legal.com/,B+B Law Firm,akcam caddesi,Akcam Cd
,info@kurtulus.av.tr,Bounced,(0216) 418 94 74,http://kurtulus.av.tr/,Kurtulus Hukuk Burosu-KURTULUS&YILMAZ&YADIKAR,sabitbey sokagi,Sabitbey Sk.
,info@giderlaw.com,Completed | Contacted,(0212) 706 24 07,http://www.giderlaw.com/,Gider Law Office,sanatkarlar sokagi,Sanatkarlar Sk.
,info@koruhukuk.com,Completed | Contacted,(0212) 255 67 66,http://www.koruhukuk.com/,Koru Attorneys at Law,gaysuni mehmet efendi sokagi,Gaysuni Mehmet Efendi Sk
,info@cubanlf.com,Completed | Email opened but no reply,(0212) 909 56 32,http://www.cubanlf.com/,Cuban Law Firm,buyukdere caddesi,Cuban Law
,info@alp.av.tr,Completed | Contacted,(0216) 629 35 32,http://alp.av.tr/,ALP Hukuk Burosu,Varyap Meridian Plazası,Barbaros Mah
,info@ustapartners.com,Completed | Contacted,(0212) 330 45 05,http://ustapartners.com/,Usta&Partners Hukuk Burosu,ahi evran caddesi,Ahi Evran Cd.
,info@doganturan.av.tr,Completed | Contacted,(0212) 450 10 13,http://www.doganturan.av.tr/,DT Hukuk Burosu,zeytinoglu caddesi,Zeytinoglu Cd.
,info@ocalhukuk.com,Completed | Email opened but no reply,(0216) 504 55 77,https://www.ocalhukuk.com/,OCAL Hukuk Burosu | Avukat Arabulucu Sebahattin OCAL,camli sokagi,Camli Sk
,info@soz.av.tr,Completed | Contacted,(0212) 236 51 54,http://www.soz.av.tr/,Soz Hukuk Burosu,kagithane caddesi,Kagithane Cd.
,info@koprulu.av.tr,Completed | Email opened but no reply,0850 432 7348,https://www.koprulu.av.tr/,Koprulu Avukatlik Burosu,bagdat caddesi,Bagdat Cad
,info@topolawfirm.com,Completed | Contacted,(0212) 909 36 98,https://www.topolawfirm.com/contact-us/,Topo Law Firm,cumhuriyet caddesi,Cumhuriyet Cd.
,info@serkezhukukburosu.com,Completed | Contacted,(0212) 909 89 37,https://serkezhukukburosu.com/,Serkez Hukuk Burosu | Bakirkoy Avukat - Istanbul Ceza Avukati - Isci Avukati - Bosanma Avukati - Gayrimenkul Avukati,Ismail Erez bulvarıı,Serkez Hukuk Burosu
,mail@ebb-law.com,Completed | Contacted,(0212) 297 41 01,http://www.ebb-law.com/,Ercin Bilgin Bektasoglu Avukatlik Burosu,cumhuriyet caddesi,Cumhuriyet Cd.
,emre@asilhukuk.net,Completed | Email opened but no reply,0530 432 20 25,http://asilhukuk.net/,Asil Hukuk Burosu,topselvi caddesi,Topselvi Cd.
,info@altinemekhukuk.com,Completed | Email opened but no reply,(0212) 347 18 44,http://www.altinemekhukuk.com/,Altin Emek Hukuk,ulgen sokagi,Ebulula Mardin Cd.
,info@meslekpatent.com,Completed | Contacted,(0216) 553 22 23,http://www.meslekpatent.com/,MESLEK PATENT,hakimiyeti milliye caddesi,Hakimiyeti Milliye Cd.
,info@beyaz.av.tr,Completed | Email opened but no reply,(0216) 474 50 55,http://www.beyaz.av.tr/,Beyaz & Yalcin Hukuk Burosu,beylerbeyi camlica caddesi,Beylerbeyi Camlica Cd.
,babahukuklaw@gmail.com,Completed | Email opened but no reply,0850 220 7025,http://www.reliancehukuk.com/,Reliance Law Office - RLNC HUKUK,zuhal caddesi,Zuhal Cd.
,info@gulgunlaw.com,Bounced,(0212) 517 25 14,http://www.gulgunlaw.com/,GHB Gulgun Hukuk Burosu - Law Office,horhor caddesi,Horhor Caddesi
,info@yukselyuksel.com,Completed | Email opened but no reply,(0216) 384 49 06,http://www.yukselyuksel.com/,Yuksel & Yuksel Hukuk Burosu - Yuksel & Yuksel Law Firm,inonu caddesi,Inonu Cad
,info@avtubacan.com,Completed | Contacted,(0212) 572 85 92,http://avtubacan.com/,Can Law and Consultancy Firm,caglar sokagi,Caglar Sk.
,info@emreulusoy.av.tr,Completed | Contacted,(0216) 550 33 23,http://www.emreulusoy.av.tr/,Avukat Mehmet Emre Ulusoy / Ulusoy Hukuk Burosu,kurbagalidere caddesi,Kurbagalidere Cd.
,info@ozbahceci.com,Completed | Contacted,(0212) 234 32 07,https://www.ozbahceci.com/,Ozbahceci Avukatlik Burosu,hurriyet caddesi,Hurriyet Cad
,info@iptech-legal.com,Completed | Email opened but no reply,,http://www.ozdagistanliekici.com/,OZDAGISTANLI EKICI ATTORNEY PARTNERSHIP,nidakule atasehir kuzey begonya sokagi,OZDAGISTANLI EKICI ATTORNEY
,info@ozlemhukukdanismanlik.com,Completed | Contacted,0535 849 31 23,http://ozlemhukukdanismanlik.com/,Ozlem Hukuk & Danismanlik,samli sokagi,Samli Sk.
,info@altinkayasancakli.com,Completed | Contacted,(0212) 273 01 71,http://www.altinkayasancakli.com/,Altinkaya&Sancakli Hukuk Burosu,park caddesi,Park Cad
,info@basamakdenetim.com,Completed | Contacted,(0212) 982 09 65,http://www.basamakdenetim.com/,BASAMAK DENETIM & MALI MUSAVIRLIK & DANISMANLIK - SERBEST MUHASEBECI MALI MUSAVIR,florya caddesi,Florya Cd.
,info@divan-law.com,Completed | Email opened but no reply,(0212) 221 01 21,http://divan-law.com/,Divan Law & Consultancy,ekim caddesi,Ekim Cd.
,info@miahukuk.com.tr,Completed | Contacted,0532 456 77 97,http://www.miahukuk.com.tr/,MIA HUKUK BUROSU,tasocagi yolu caddesi,Tasocagi Yolu Cad
,ece@kermenavukatlik.com,Completed | Email opened but no reply,(0216) 688 84 42,http://kermenavukatlik.com/,Kermen Avukatlik ve Danismanlik,sarkac sokagi,Sarkac Sk.
,info@hanlegal.net,Completed | Email opened but no reply,,https://www.hanlegal.net/,Han Legal - Hukuk ve Arabulucuk Burosu,koza mahallesi,Koza Mah
,office@inal-law.com,Completed | Contacted,(0212) 343 89 89,http://www.inal-law.com/,Inal Law,tesvikiye caddesi,Tesvikiye Cad
,cma@moseshukuk.com,Completed | Email opened but no reply,(0212) 663 40 67,http://www.moseshukuk.com/,Moses Hukuk ve Danismanlik,cekmece caddesi,Cekmece Cd.
,info@dnblegal.com.tr,Completed | Email opened but no reply,,http://www.dnblegal.com.tr/,DNB LEGAL Attorneys At Law,ardic sokagi,Ardic Sk.
,info@gg-lawfirm.com,Completed | Contacted,(0212) 356 33 77,http://www.gg-lawfirm.com/,G&G HUKUK BUROSU (Av. Sefa GUVEN),otello kamil sokagi,Otello Kamil Sk.
,info@dn-partners.com,Completed | Email opened but no reply,,http://www.dn-partners.com/,DN Partners Law Firm,sakayik sokagi,Sakayik Sk.
,info@serkalaw.com,Completed | Contacted,0530 127 59 35,https://serkalaw.com/,Serka Law Firm Istanbul,i hurriyet caddesi,i Hurriyet Cd
,info@dogan-law.com,Completed | Contacted,0533 458 66 20,http://www.dogan-law.com/,Dogan Law Office,dudullu caddesi,Dudullu Cad
,oztpelin@gmail.com,Completed | Email opened but no reply,0530 642 08 67,https://www.kosulgan.av.tr/,Kosulgan Hukuk Burosu,sirin sokagi,Sirin Sk.
,info@fatihozdemir.av.tr,Completed | Email opened but no reply,0533 655 16 05,http://fatihozdemir.av.tr/,Av. Fatih Ozdemir Avukatlik & Arabuluculuk Ofisi,guner sokagi,Guner Sk.
,bilgi@jurist.com.tr,Completed | Contacted,(0212) 664 92 53,http://jurist.com.tr/,Jurist Law Office,tercuman sitesi cevizlibag sokagi,Tercuman Sitesi Cevizlibag Sokak
,info@hanhukuk.com,Completed | Email opened but no reply,(0212) 263 73 60,http://www.hanhukuk.com/,Han Law Office,esra sokagi,Esra Sk.
,buro@koksalpartners.com,Completed | Email opened but no reply,(0216) 700 18 33,https://www.koksalpartners.com/,Koksal & Partners,cikmazi sokagi,Burhaniye Abdullahaga Caddesi
,info@mahukuk.com,Completed | Contacted,(0212) 217 47 37,http://mahukuk.com/,M&A Fazlioglu Hukuk Burosu,cemil aslan guder sokagi,Cemil Aslan Guder Sk.
,cakirattorney@gmail.com,Completed | Email opened but no reply,0530 459 42 30,http://www.cakirlawfirm.com/,Cakir Hukuk Burosu,gazi mustafa kemal pasa caddesi,Gazi Mustafa Kemal Pasa Cd.
,info@ideamarka.com,Completed | Contacted,0534 631 89 75,https://ideamarka.com/,Idea Marka Patent Danismanlik,koca mansur sokagi,Koca Mansur Sk.
,bilgi@mutlu.av.tr,Completed | Email opened but no reply,(0216) 651 84 84,http://www.mutlu.av.tr/,MUTLU AVUKATLIK ORTAKLIGI,kisikli caddesi,Kisikli Cd.
,info@kasapoglulegal.com,Completed | Contacted,(0212) 741 03 23,http://kasapoglulegal.com/,Kasapoglu Legal,mimar sinan sokagi,Mimar Sinan Sk.
,info@yilmazyilmazhukuk.com,Completed | Email opened but no reply,0532 778 80 34,http://www.yilmazyilmazhukuk.com/,Yilmaz & Yilmaz Hukuk Burosu,nisbetiye caddesi,Nisbetiye Cd
,info@basaranhukuk.com,Bounced,(0212) 660 56 25,http://www.basaranhukuk.com/,Basaran Hukuk,uluyol caddesi,Uluyol Cd.
,cerrahoglu@cerrahoglu.av.tr,Completed | Email opened but no reply,(0212) 266 44 00,http://www.cerrahoglu.av.tr/,CERRAHOGLU AVUKATLIK ORTAKLIGI,hardal sokagi,CERRAHOGLU AVUKATLIK
,info@ateryalaw.com,Completed | Contacted,0533 552 87 48,http://www.ateryalaw.com/,Aterya Law Office,yan yol caddesi,Aterya Law
,iletisim@cevdetyavuz.av.tr,Completed | Contacted,(0212) 216 64 00,http://www.cevdetyavuz.av.tr/,Av. Prof. Dr. Cevdet Yavuz Hukuk Burosu,sisli buyukdere caddesi,Sisli Buyukdere Cd.
,bilgi@sarioglusefer.com,Completed | Contacted,0539 676 32 75,https://www.sarioglusefer.com/,Sarioglu Sefer Hukuk Burosu | Istanbul Bosanma Avukati - Ceza Avukati - Isci Avukati - Tazminat Avukati,Ismail Erez bulvarıı,Sarioglu Sefer Hukuk Burosu
,turhan@turhanlaw.com,Completed | Email opened but no reply,(0212) 246 29 36,http://turhanlaw.com/,Turhan Law,inonu caddesi,Inonu Cad
,info@esblegal.com.tr,Completed | Email opened but no reply,0532 463 35 25,http://www.esblegal.com.tr/,Av. Sercan Turk - Hukuki Danismanlik ve Marka&Patent Tescil Islemleri,kastamonu sokagi,Kastamonu Sk.
,av.ilkaydogan@hotmail.com,Completed | Contacted,(0212) 728 53 66,http://www.ilkaydogan.av.tr/,Dogan Hukuk ve Arabuluculuk Burosu Silivri - Avukat Ilkay Dogan,haydar aslan sokagi,Haydar Aslan Sk.
,info@karataspartners.com,Completed | Email opened but no reply,(0212) 909 55 30,http://karataspartners.com/,Karatas & Partners Hukuk Burosu | Law Office,delalzade sokagi,Delalzade Sk.
,info@develiogludag.com,Completed | Contacted,(0212) 225 66 17,http://www.develiogludag.com/,Develioglu & Dag Hukuk Burosu,vali konagi caddesi,Vali Konagi Caddesi
,webmaster@kadimavukatlik.com,Completed | Contacted,(0212) 558 77 72,http://www.kadimavukatlik.com/,Kadim Avukatlik Ofisi,merkezefendi mahallesi mevlana caddesi,Merkezefendi Mahallesi Mevlana Caddesi
,bilgi@saltukhukuk.com,Completed | Contacted,(0216) 442 02 02,http://www.saltukhukuk.com/,Saltuk Hukuk ve Danismanlik,sair nedim sokagi,Sair Nedim Sokak
,info@ankaraanlasmasivize.com,Completed | Contacted,(0216) 330 29 84,http://ankaraanlasmasivize.com/,Advise Danismanlik,vahap bey sokagi,Vahap Bey Sk.
,bilgi@bal.av.tr,Completed | Email opened but no reply,0539 705 09 07,http://www.bal.av.tr/,Bal Hukuk Burosu,derin sokagi,Derin Sk.
,info@saralhukuk.com.tr,Completed | Contacted,(0212) 231 71 66,http://www.saralhukuk.com.tr/,SARAL Hukuk Burosu,krizantem sokagi,Krizantem Sk.
,info@sarnichukuk.com,Completed | Contacted,(0216) 450 43 74,http://www.sarnichukuk.com/,Avukat Emre Sarnic - SARNIC HUKUK BUROSU,meric caddesi,Meric Cad
,info@rostu.com.tr,Completed | Email opened but no reply,0536 524 53 90,https://rostu.com.tr/,"ROSTU - Uslugi konsaltinga, perevoda i iuridicheskogo soprovozhdenie",bagdat caddesi,Bagdat Cad
,info@boden-law.com,Completed | Email opened but no reply,(0212) 251 15 00,http://boden-law.com/,Boden Law,buyukdere caddesi,Buyukdere Cd.
,info@hnppatent.com,Completed | Contacted,(0212) 777 03 39,http://www.hovseppayel.av.tr/,Hovsep Payel - Attorney at Law & Mediator / Patent & Trademark Attorney,Mustafa Kemal Ataturk bulvarıı,Bahcesehir
,info@yttlaw.com,Completed | Email opened but no reply,(0212) 293 09 09,http://www.yttlaw.com/,Yalcin Toygar Hukuk Burosu,inebolu sokagi,Inebolu Sk.
,webmaster@aryilmaz.com,Bounced,(0216) 519 00 19,http://www.aryilmaz.com/,Aryilmaz Hukuk,ahlat sokagi,Ahlat Sk.
,info@kavlak.av.tr,Completed | Email opened but no reply,(0212) 324 55 00,http://www.kavlak.av.tr/,Kavlak Avukatlik Burosu,seher yildizi sokagi,Nisbetiye Caddesi
,mert@cebecibayramlaw.com,Completed | Contacted,0551 125 17 51,http://www.cebecibayramlaw.com/,Cebeci & Bayram Law Firm -English Speaking Lawyers-,milangaz caddesi,Milangaz Cd.
,info@kyhukuk.com.tr,Completed | Contacted,(0216) 467 00 29,https://www.kyhukuk.com.tr/,KY Hukuk ve Danismanlik Burosu (KY Law Office),yumurtaci abdi bey caddesi,Yumurtaci Abdi Bey Cd.
,info@gozlemhukuk.com,Completed | Contacted,(0212) 863 40 40,https://www.gozlemhukuk.com/,Gozlem Hukuk Burosu & Arabuluculuk Hizmetleri,Mustafa Kemal Pasa bulvarı,Gozlem Hukuk Burosu
,info@mentalhukuk.com,Completed | Contacted,,http://www.mentalhukuk.com/,Mental Avukatlik Ofisi | Law Office | Atasehir-Istanbul | mHmy| mktb lqnwn,erzincan sokagi,Erzincan Sk.
,info@alperustun.av.tr,Completed | Contacted,0553 129 16 59,https://www.alperustun.av.tr/,Atlas Hukuk & Danismanlik ~ Avukat Belit Alici & Avukat Alper Ustun-Silivri,piri mehmet pasa mah haci pervane caddesi,Piri Mehmet Pasa Mah Haci Pervane Cad
,info@andishukuk.com,Completed | Contacted,(0212) 571 19 31,http://andishukuk.com/,Andis Hukuk & Danismanlik Istanbul Ofisi,danismanlik istanbul ofis ofisi,Andis Hukuk
,gunertok@istanbulbarosu.org.tr,Completed | Email opened but no reply,(0212) 425 20 00,https://www.toklawfirm.com/en/iletisim/,TOK LAW FIRM,florya caddesi,Florya Cd.
,info@garipoglu.com,Completed | Contacted,(0212) 438 00 45,http://garipoglu.com/,Garipoglu Corporate Group,kocman caddesi,Kocman Cd.
,kurumsaliletisim@universalhukuk.com,Completed | Contacted,(0212) 296 42 00,http://www.universalhukuk.com/,Universal,halaskargazi caddesi,Halaskargazi Cd.
,info@pactahukuk.com,Completed | Email opened but no reply,(0216) 651 90 66,http://pactahukuk.com/,Pacta Hukuk,kosuyolu caddesi,Kosuyolu Cd.
,info@oerusta.av.tr,Completed | Email opened but no reply,(0212) 291 91 10,https://www.oerusta.av.tr/,Erusta Hukuk Burosu,general ali riza gurcan caddesi,General Ali Riza Gurcan Cad
,bilgi@keybiz.com.tr,Completed | Contacted,0533 257 46 48,http://www.keybiz.com.tr/,Keybiz CPAs & Advisors,general sukru kanatli caddesi,General Sukru Kanatli Cd.
,info@ferhatkule.av.tr,Bounced,0539 290 13 13,http://ferhatkule.av.tr/,Avukat Ferhat Kule,suvari caddesi,Avukat Ferhat
,info@kubrakartal.av.tr,Completed | Email opened but no reply,0542 192 94 81,http://www.kubrakartal.av.tr/,Kubra KARTAL Avukatlik & Danismanlik Ofisi,yan yol avrupa konutlari residence rezidansı,Kubra KARTAL Avukatlik
,info@gnalegal.com,Completed | Contacted,(0216) 641 47 66,http://www.gnalegal.com/,GNA Legal,merkez mahallesi vezir sokagi,Merkez Mahallesi Vezir Sokak
,info@ari.av.tr,Completed | Contacted,(0216) 455 09 81,https://www.ari.av.tr/english/contact-us/,Ari Attorneys At Law,Atasehir bulvarıı,Atasehir
,info@elitehukukburosu.com,Completed | Email opened but no reply,(0212) 729 08 25,http://berkayergun.av.tr/,Ergun Hukuk,recep silahtaroglu sokagi,Recep Silahtaroglu Sk.
,info@acdlawoffice.com,Completed | Contacted,(0216) 325 57 87,http://acdlawoffice.com/,ACDLAWOFFICE,okul sokagi,Fahrettin Kerim Gokay Caddesi
